192.168.1.4  露光8" 周期15s  通知=continue=on  LV=あり  1コマ持ち越し  予定45分
    20 16:28:56 cyc=  8888 通知=  851(3回) 取得=   36 http=200 IMG_0023.CR3 
    40 16:33:56 cyc=  8932 通知=  887(3回) 取得=   44 http=200 IMG_0043.CR3 
    60 16:38:56 cyc=  8945 通知=  901(3回) 取得=   43 http=200 IMG_0063.CR3 
    80 16:43:57 cyc=  8953 通知=  911(3回) 取得=   42 http=200 IMG_0083.CR3 
   100 16:48:57 cyc=  8980 通知=  936(3回) 取得=   43 http=200 IMG_0103.CR3 
   120 16:53:57 cyc=  8991 通知=  954(3回) 取得=   36 http=200 IMG_0123.CR3 
   140 16:58:57 cyc=  8989 通知=  950(3回) 取得=   36 http=200 IMG_0143.CR3 
   160 17:03:57 cyc=  9021 通知=  985(3回) 取得=   35 http=200 IMG_0163.CR3 
   180 17:08:57 cyc=  8925 通知=  880(3回) 取得=   42 http=200 IMG_0183.CR3 

終了: 180コマ 失敗0 → 50_tools/camera/soak_out/R10_evback1.csv
